prediction_month,records,default_rate,avg_score,roc_auc,score_psi_vs_baseline,performance_status,stability_status
2023-01,530,0.2641509433962264,0.4066931208471698,0.8813003663003662,0.0,ok,ok
2023-02,501,0.3073852295409182,0.42589699175449097,0.8322916276806767,0.026956638210228687,ok,ok
2023-03,506,0.3201581027667984,0.4427861662826087,0.8517800746482918,0.04362245734418248,ok,ok
2023-04,510,0.26862745098039215,0.4259437341,0.8611573159037984,0.039107869816697546,ok,ok
2023-05,521,0.2667946257197697,0.4256056383646833,0.8709555915477042,0.04830390504617931,ok,ok
2023-06,517,0.26499032882011603,0.40218899433075433,0.8841336918939685,0.0180509893657431,ok,ok
2023-07,471,0.29723991507430997,0.4408628011401274,0.8750539490720759,0.04319882080894173,ok,ok
2023-08,481,0.288981288981289,0.437200538006237,0.8667381883966511,0.07493312147471755,ok,ok
2023-09,454,0.2621145374449339,0.4246092869977973,0.8757055060830302,0.03686691221139306,ok,ok
2023-10,487,0.25667351129363447,0.41619592409856265,0.8794917127071823,0.016731404914404228,ok,ok
2023-11,491,0.29124236252545826,0.41778147179226066,0.8557189936500281,0.03597997902073057,ok,ok
2023-12,489,0.30879345603271985,0.4324416501451943,0.8527763627101376,0.039877321890290314,ok,ok
2024-01,485,0.29690721649484536,0.4324715729381443,0.8714361355490388,0.055275808991926315,ok,ok
2024-02,518,0.28378378378378377,0.46195203367181464,0.8487448887910959,0.07085600918687805,ok,ok
2024-03,511,0.3287671232876712,0.4434645388610568,0.8527002637789809,0.07573049189027549,ok,ok
2024-04,513,0.27680311890838205,0.4252107145711502,0.8407425686192628,0.04133717981224213,ok,ok
2024-05,491,0.3034623217922607,0.44217129311201625,0.8446367596844461,0.04134474993404327,ok,ok
2024-06,498,0.3112449799196787,0.4318313841746988,0.8801279036960405,0.039470300335624195,ok,ok
2024-07,505,0.3069306930693069,0.45014685746732674,0.8042672811059908,0.23859989650771748,ok,ok
2024-08,543,0.3001841620626151,0.45369917549539596,0.797142395866968,0.3468110609568606,ok,drift_alert
2024-09,493,0.3306288032454361,0.4526033105131846,0.8111358988659602,0.2495794560451767,ok,ok
2024-10,456,0.24561403508771928,0.4264709954188597,0.811124377076412,0.25184130464809895,ok,drift_alert
2024-11,488,0.2807377049180328,0.45299582065778693,0.7922619418969784,0.34203313644224276,ok,drift_alert
2024-12,515,0.27184466019417475,0.4072625082058252,0.8292761904761905,0.17888556663492844,ok,ok
2025-01,526,0.26806083650190116,0.44168025044866915,0.7937920235792576,0.2591987650374388,ok,drift_alert
